intervalo_tempo,Sensor,Esperado,lote1_obs,lote2_obs,lote3_obs
5_5,1,12096,11484,11603,11774
5_5,2,12096,11066,11384,11948
5_5,3,12096,11101,11405,14818
10_10,4,6048,6280,5684,6212
10_10,5,6048,5520,5686,5948
10_10,6,6048,5545,5660,5972
5_5,7,12096,11139,11361,11920
5_5,8,12096,10985,11377,11949
5_5,9,12096,11112,11687,13308
10_10,10,6048,5499,5657,5945
10_10,11,6048,5531,5623,5925
10_10,12,6048,5553,5666,6079
5_5,13,12096,11013,11389,11909
5_5,14,12096,11135,11335,11834
5_5,15,12096,11061,12228,11946
10_10,16,6048,5309,5608,5820
10_10,17,6048,5478,5608,5976
10_10,18,6048,5445,5660,5832
5_5,19,12096,11025,11358,11974
5_5,20,12096,10961,11281,11799
5_5,21,12096,11033,11566,12242
10_10,22,6048,5402,5665,5891
10_10,23,6048,5542,5670,5950
10_10,24,6048,5518,5679,5970
5_5,25,12096,11188,11264,11612
5_5,26,12096,11763,11318,11933
5_5,27,12096,11057,11220,11717
10_10,28,6048,5538,5656,5902
10_10,29,6048,5440,5479,5879
10_10,30,6048,5512,5662,6044
