Dia,s21_obs,s21_leitura
2025-09-26,466,466
2025-09-27,306,306
2025-09-28,287,287
2025-09-29,286,286
2025-09-30,280,280
2025-10-01,285,285
2025-10-02,287,287
2025-10-03,286,286
2025-10-04,285,285
2025-10-05,285,285
2025-10-06,284,284
2025-10-07,286,286
2025-10-08,285,285
2025-10-09,284,284
2025-10-10,286,286
2025-10-11,284,284
2025-10-12,285,285
2025-10-13,284,284
2025-10-14,285,285
2025-10-15,284,284
2025-10-16,285,285
2025-10-17,285,285
2025-10-18,282,282
2025-10-19,275,275
2025-10-20,282,282
2025-10-21,280,280
2025-10-22,279,279
2025-10-23,283,283
2025-10-24,284,284
2025-10-25,284,284
2025-10-26,286,286
2025-10-27,286,286
2025-10-28,286,286
2025-10-29,284,284
2025-10-30,282,282
2025-10-31,283,283
2025-11-01,284,284
2025-11-02,284,284
2025-11-03,286,286
2025-11-04,286,286
