Sensor,Linha,Coluna,total_falhas
16,Linha 1,Coluna 6,59
22,Linha 1,Coluna 8,34
29,Linha 2,Coluna 10,27
18,Linha 3,Coluna 6,20
10,Linha 1,Coluna 4,17
17,Linha 2,Coluna 6,14
5,Linha 2,Coluna 2,10
30,Linha 3,Coluna 10,10
28,Linha 1,Coluna 10,9
23,Linha 2,Coluna 8,8
11,Linha 2,Coluna 4,7
24,Linha 3,Coluna 8,7
4,Linha 1,Coluna 2,6
6,Linha 3,Coluna 2,6
1,Linha 1,Coluna 1,5
2,Linha 2,Coluna 1,4
3,Linha 3,Coluna 1,4
9,Linha 3,Coluna 3,4
14,Linha 2,Coluna 5,4
15,Linha 3,Coluna 5,4
26,Linha 2,Coluna 9,4
7,Linha 1,Coluna 3,3
8,Linha 2,Coluna 3,3
12,Linha 3,Coluna 4,3
13,Linha 1,Coluna 5,3
19,Linha 1,Coluna 7,3
20,Linha 2,Coluna 7,3
21,Linha 3,Coluna 7,3
25,Linha 1,Coluna 9,3
27,Linha 3,Coluna 9,3
