Sensor,intervalo_min,esperado_dia,n_dias,total_obs,esperado_total,pct_cobertura,dias_zero,dias_baixo,dias_ok
1,5,288,43,11484,12384,92.7,2,4,37
2,5,288,43,11066,12384,89.4,2,4,37
3,5,288,43,11101,12384,89.6,2,4,37
4,10,144,43,6280,6192,101.4,2,4,37
5,10,144,43,5520,6192,89.1,2,4,37
6,10,144,43,5545,6192,89.6,2,4,37
7,5,288,43,11139,12384,89.9,2,4,37
8,5,288,43,10985,12384,88.7,2,4,37
9,5,288,43,11112,12384,89.7,2,4,37
10,10,144,43,5499,6192,88.8,2,4,37
11,10,144,43,5531,6192,89.3,2,4,37
12,10,144,43,5553,6192,89.7,2,4,37
13,5,288,43,11013,12384,88.9,2,4,37
14,5,288,43,11135,12384,89.9,2,4,37
15,5,288,43,11061,12384,89.3,2,4,37
16,10,144,43,5309,6192,85.7,2,4,37
17,10,144,43,5478,6192,88.5,2,4,37
18,10,144,43,5445,6192,87.9,2,4,37
19,5,288,43,11025,12384,89,2,4,37
20,5,288,43,10961,12384,88.5,2,4,37
21,5,288,43,11033,12384,89.1,2,4,37
22,10,144,43,5402,6192,87.2,2,4,37
23,10,144,43,5542,6192,89.5,2,4,37
24,10,144,43,5518,6192,89.1,2,4,37
25,5,288,43,11188,12384,90.3,2,4,37
26,5,288,43,11763,12384,95,2,4,37
27,5,288,43,11057,12384,89.3,2,4,37
28,10,144,43,5538,6192,89.4,2,4,37
29,10,144,43,5440,6192,87.9,2,4,37
30,10,144,43,5512,6192,89,2,4,37
