Dia,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
2025-07-24,461,243,251,126,125,126,249,247,251,121,125,125,252,250,250,123,124,120,252,251,249,122,124,124,248,262,249,125,123,124
2025-07-25,450,283,285,142,143,140,287,286,287,141,143,143,288,287,288,144,141,136,286,286,284,142,143,143,262,453,288,143,142,140
2025-07-26,287,281,283,142,143,143,286,282,280,139,142,142,286,286,285,117,142,132,285,278,286,142,144,140,256,487,284,141,141,142
2025-07-27,285,284,286,144,142,143,286,282,285,141,144,143,283,284,283,122,142,142,284,268,286,141,143,141,275,500,287,141,141,142
2025-07-28,287,285,288,142,142,142,288,282,286,140,139,141,287,284,284,124,143,136,278,275,285,142,142,142,275,281,284,144,140,142
2025-07-29,285,285,286,143,143,144,285,281,287,142,141,143,287,286,284,124,141,138,288,284,283,142,140,139,501,283,287,142,148,142
2025-07-30,287,281,287,140,144,142,286,283,286,141,139,140,286,282,287,120,142,132,283,286,287,143,143,141,376,286,287,143,141,141
2025-07-31,287,283,286,144,143,143,278,281,286,139,144,144,288,285,286,120,142,131,282,283,291,142,142,139,280,286,286,142,141,142
2025-08-01,286,283,285,142,142,140,287,280,288,142,143,143,285,285,283,135,141,138,286,286,275,152,143,143,270,311,286,142,141,140
2025-08-02,285,284,287,143,142,143,288,281,287,140,143,141,288,281,285,134,142,139,285,285,283,133,142,142,281,299,287,142,142,139
2025-08-03,288,287,286,142,143,143,287,286,284,139,142,141,286,278,276,142,142,141,287,285,285,139,143,142,287,277,283,141,141,144
2025-08-04,282,274,283,141,141,142,285,281,285,140,141,141,284,283,281,128,141,141,285,275,283,138,140,141,270,274,280,143,139,139
2025-08-05,285,284,288,144,141,143,290,284,288,141,142,142,284,283,281,136,143,138,286,284,287,135,142,141,278,255,282,143,142,143
2025-08-06,285,279,288,143,141,143,287,284,285,144,140,143,284,276,284,130,141,145,285,285,284,141,143,142,358,268,285,141,139,143
2025-08-07,287,280,286,143,135,142,287,283,287,140,143,144,288,282,284,138,140,141,287,285,289,139,142,144,279,268,284,143,139,142
2025-08-08,220,216,220,110,111,110,221,219,221,108,108,109,221,210,219,104,106,107,221,220,222,109,110,109,219,208,222,109,109,110
2025-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,77,77,77,38,38,39,77,76,77,38,39,39,74,76,75,36,36,37,76,77,76,37,38,39,76,70,77,36,39,38
2025-08-11,286,279,284,142,142,141,284,280,286,140,136,142,285,283,282,135,143,142,287,278,284,140,143,141,286,409,281,144,139,141
2025-08-12,287,285,285,143,142,140,286,282,287,141,140,143,284,282,280,136,140,141,285,284,283,141,141,143,285,312,287,143,138,142
2025-08-13,288,284,288,143,145,140,286,281,285,141,141,141,282,283,281,138,141,141,300,285,285,137,144,143,282,277,285,141,141,138
2025-08-14,285,285,283,143,139,143,286,286,286,138,142,144,283,287,285,136,141,140,281,278,283,123,142,143,282,305,283,142,139,139
