Dia,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
2025-07-24,160.1,84.4,87.2,87.5,86.8,87.5,86.5,85.8,87.2,84,86.8,86.8,87.5,86.8,86.8,85.4,86.1,83.3,87.5,87.2,86.5,84.7,86.1,86.1,86.1,91,86.5,86.8,85.4,86.1
2025-07-25,156.2,98.3,99,98.6,99.3,97.2,99.7,99.3,99.7,97.9,99.3,99.3,100,99.7,100,100,97.9,94.4,99.3,99.3,98.6,98.6,99.3,99.3,91,157.3,100,99.3,98.6,97.2
2025-07-26,99.7,97.6,98.3,98.6,99.3,99.3,99.3,97.9,97.2,96.5,98.6,98.6,99.3,99.3,99,81.2,98.6,91.7,99,96.5,99.3,98.6,100,97.2,88.9,169.1,98.6,97.9,97.9,98.6
2025-07-27,99,98.6,99.3,100,98.6,99.3,99.3,97.9,99,97.9,100,99.3,98.3,98.6,98.3,84.7,98.6,98.6,98.6,93.1,99.3,97.9,99.3,97.9,95.5,173.6,99.7,97.9,97.9,98.6
2025-07-28,99.7,99,100,98.6,98.6,98.6,100,97.9,99.3,97.2,96.5,97.9,99.7,98.6,98.6,86.1,99.3,94.4,96.5,95.5,99,98.6,98.6,98.6,95.5,97.6,98.6,100,97.2,98.6
2025-07-29,99,99,99.3,99.3,99.3,100,99,97.6,99.7,98.6,97.9,99.3,99.7,99.3,98.6,86.1,97.9,95.8,100,98.6,98.3,98.6,97.2,96.5,174,98.3,99.7,98.6,102.8,98.6
2025-07-30,99.7,97.6,99.7,97.2,100,98.6,99.3,98.3,99.3,97.9,96.5,97.2,99.3,97.9,99.7,83.3,98.6,91.7,98.3,99.3,99.7,99.3,99.3,97.9,130.6,99.3,99.7,99.3,97.9,97.9
2025-07-31,99.7,98.3,99.3,100,99.3,99.3,96.5,97.6,99.3,96.5,100,100,100,99,99.3,83.3,98.6,91,97.9,98.3,101,98.6,98.6,96.5,97.2,99.3,99.3,98.6,97.9,98.6
2025-08-01,99.3,98.3,99,98.6,98.6,97.2,99.7,97.2,100,98.6,99.3,99.3,99,99,98.3,93.8,97.9,95.8,99.3,99.3,95.5,105.6,99.3,99.3,93.8,108,99.3,98.6,97.9,97.2
2025-08-02,99,98.6,99.7,99.3,98.6,99.3,100,97.6,99.7,97.2,99.3,97.9,100,97.6,99,93.1,98.6,96.5,99,99,98.3,92.4,98.6,98.6,97.6,103.8,99.7,98.6,98.6,96.5
2025-08-03,100,99.7,99.3,98.6,99.3,99.3,99.7,99.3,98.6,96.5,98.6,97.9,99.3,96.5,95.8,98.6,98.6,97.9,99.7,99,99,96.5,99.3,98.6,99.7,96.2,98.3,97.9,97.9,100
2025-08-04,97.9,95.1,98.3,97.9,97.9,98.6,99,97.6,99,97.2,97.9,97.9,98.6,98.3,97.6,88.9,97.9,97.9,99,95.5,98.3,95.8,97.2,97.9,93.8,95.1,97.2,99.3,96.5,96.5
2025-08-05,99,98.6,100,100,97.9,99.3,100.7,98.6,100,97.9,98.6,98.6,98.6,98.3,97.6,94.4,99.3,95.8,99.3,98.6,99.7,93.8,98.6,97.9,96.5,88.5,97.9,99.3,98.6,99.3
2025-08-06,99,96.9,100,99.3,97.9,99.3,99.7,98.6,99,100,97.2,99.3,98.6,95.8,98.6,90.3,97.9,100.7,99,99,98.6,97.9,99.3,98.6,124.3,93.1,99,97.9,96.5,99.3
2025-08-07,99.7,97.2,99.3,99.3,93.8,98.6,99.7,98.3,99.7,97.2,99.3,100,100,97.9,98.6,95.8,97.2,97.9,99.7,99,100.3,96.5,98.6,100,96.9,93.1,98.6,99.3,96.5,98.6
2025-08-08,76.4,75,76.4,76.4,77.1,76.4,76.7,76,76.7,75,75,75.7,76.7,72.9,76,72.2,73.6,74.3,76.7,76.4,77.1,75.7,76.4,75.7,76,72.2,77.1,75.7,75.7,76.4
2025-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,26.7,26.7,26.7,26.4,26.4,27.1,26.7,26.4,26.7,26.4,27.1,27.1,25.7,26.4,26,25,25,25.7,26.4,26.7,26.4,25.7,26.4,27.1,26.4,24.3,26.7,25,27.1,26.4
2025-08-11,99.3,96.9,98.6,98.6,98.6,97.9,98.6,97.2,99.3,97.2,94.4,98.6,99,98.3,97.9,93.8,99.3,98.6,99.7,96.5,98.6,97.2,99.3,97.9,99.3,142,97.6,100,96.5,97.9
2025-08-12,99.7,99,99,99.3,98.6,97.2,99.3,97.9,99.7,97.9,97.2,99.3,98.6,97.9,97.2,94.4,97.2,97.9,99,98.6,98.3,97.9,97.9,99.3,99,108.3,99.7,99.3,95.8,98.6
2025-08-13,100,98.6,100,99.3,100.7,97.2,99.3,97.6,99,97.9,97.9,97.9,97.9,98.3,97.6,95.8,97.9,97.9,104.2,99,99,95.1,100,99.3,97.9,96.2,99,97.9,97.9,95.8
2025-08-14,99,99,98.3,99.3,96.5,99.3,99.3,99.3,99.3,95.8,98.6,100,98.3,99.7,99,94.4,97.9,97.2,97.6,96.5,98.3,85.4,98.6,99.3,97.9,105.9,98.3,98.6,96.5,96.5
2025-08-15,99,98.6,98.6,97.2,96.5,97.2,96.2,97.6,98.6,97.2,97.2,99.3,98.6,97.9,97.6,94.4,95.8,97.9,97.6,96.2,98.6,94.4,99.3,99.3,96.5,97.9,98.6,97.9,95.8,97.9
2025-08-16,100,99.3,99.3,99.3,97.9,97.9,99.3,97.2,98.3,98.6,100,98.6,99.7,99.3,99.3,98.6,99.3,96.5,97.2,96.9,98.6,91.7,99.3,99.3,98.6,97.6,99.7,99.3,96.5,99.3
2025-08-17,99.3,99.3,99.7,99.3,99.3,99.3,99.7,99,99.3,98.6,100,99.3,99,99.7,98.6,97.2,95.8,97.9,99,96.9,96.9,93.8,99.3,99.3,98.3,95.8,99.3,99.3,98.6,97.9
2025-08-18,99.7,100,99.7,99.3,97.9,97.9,96.5,97.9,103.5,97.9,98.6,98.6,99.7,108,99.7,97.2,98.6,97.2,97.9,96.5,96.2,95.8,99.3,98.6,97.6,97.6,99.3,99.3,97.2,97.2
2025-08-19,99.3,98.6,99.3,100,97.2,97.2,99.3,98.3,98.3,97.9,100,99.3,100,98.3,98.3,95.8,97.2,97.9,98.3,98.6,96.9,95.8,97.2,98.6,97.9,97.6,99,99.3,96.5,98.6
2025-08-20,70.8,71.9,71.9,79.9,68.1,70.8,70.8,70.1,71.9,70.8,71.5,70.8,69.4,72.6,69.8,69.4,70.1,71.5,70.5,69.4,69.1,70.8,72.2,69.4,66.3,70.5,70.1,68.1,69.4,70.1
2025-08-21,83,97.9,97.9,99.3,97.2,97.2,98.3,96.9,98.3,97.2,97.2,97.9,95.8,114.2,96.2,97.2,94.4,93.8,96.5,94.4,93.1,91.7,91.7,95.1,88.5,98.3,95.8,97.9,95.1,95.1
2025-08-22,97.6,99,99,97.9,97.2,97.2,99,97.6,97.2,97.9,97.9,97.9,99,97.9,98.6,96.5,95.1,97.2,92.4,95.8,93.4,89.6,95.1,95.1,96.5,96.5,97.2,98.6,91.7,98.6
2025-08-23,97.6,97.2,99,98.6,93.8,97.9,98.3,96.5,95.5,97.9,97.2,96.5,96.5,96.9,96.9,95.8,96.5,95.8,95.5,97.2,94.4,93.8,97.2,97.9,95.8,96.9,96.2,98.6,96.5,95.8
2025-08-24,99.7,99.3,100,112.5,98.6,96.5,99,96.9,101,99.3,98.6,98.6,93.8,99,98.3,97.9,97.9,99.3,96.9,96.9,96.9,95.1,98.6,98.6,101,99.3,99.7,97.9,98.6,98.6
2025-08-25,99.3,99.7,97.2,168.8,98.6,108.3,99.7,95.8,98.6,97.9,99.3,99.3,98.3,98.6,97.9,97.2,97.2,97.9,97.2,97.2,97.2,93.8,98.6,97.9,99.3,99.3,99,99.3,96.5,98.6
2025-08-26,99.3,99,98.3,170.8,100,97.9,99.3,97.9,98.6,99.3,99.3,100,99.7,100,97.9,100,96.5,98.6,97.6,96.5,97.9,97.2,100,97.2,99.7,97.2,99,99.3,97.2,100
2025-08-27,99.7,99.3,99,168.8,97.9,97.2,99.3,97.2,95.5,99.3,98.6,99.3,99.7,99.7,99.3,99.3,96.5,99.3,94.8,97.6,97.9,97.2,98.6,98.6,95.8,99,99,97.9,96.5,97.2
2025-08-28,99.7,99.3,90.6,172.2,97.9,98.6,99.7,97.6,97.9,97.9,99.3,99.3,98.6,99,98.3,99.3,97.2,97.2,97.6,94.8,98.3,97.9,100,99.3,88.9,99,99.3,97.9,95.1,97.2
2025-08-29,99.3,99.3,99,168.8,100,99.3,99,101.4,98.3,97.2,97.2,100,98.6,98.3,99,98.6,98.6,99.3,96.9,98.6,99,96.5,98.6,96.5,94.4,98.6,97.2,97.9,93.8,98.6
2025-08-30,99.7,99,99.3,170.1,97.9,100,99.7,94.4,97.9,98.6,98.6,97.9,83,95.8,100,97.9,97.2,97.2,96.9,98.6,99.3,98.6,100,99.3,99.3,98.6,98.3,98.6,95.8,98.6
