Sensor,Linha,Coluna,intervalo_min,tipo_sensor,cod_gap,classe_gap,n,n_dif_total,freq_rel,n_medidas_sensor,n_dif_validas
1,1,1,5,5min,-1,falha_comunicacao(<5),468,12182,0.038417337054670826,12183,12182
1,1,1,5,5min,0,ok(=5),11567,12182,0.9495156788704646,12183,12182
1,1,1,5,5min,1,falha_gap(>5),147,12182,0.012066984074864555,12183,12182
2,2,1,5,5min,-1,falha_comunicacao(<5),83,11706,0.007090381001195968,11707,11706
2,2,1,5,5min,0,ok(=5),11367,11706,0.9710404920553563,11707,11706
2,2,1,5,5min,1,falha_gap(>5),256,11706,0.021869126943447805,11707,11706
3,3,1,5,5min,-1,falha_comunicacao(<5),23,11740,0.001959114139693356,11741,11740
3,3,1,5,5min,0,ok(=5),11575,11740,0.9859454855195912,11741,11740
3,3,1,5,5min,1,falha_gap(>5),142,11740,0.012095400340715502,11741,11740
4,1,2,10,10min,-1,falha_comunicacao(<10),723,6598,0.10957866020006063,6599,6598
4,1,2,10,10min,0,ok(=10),5823,6598,0.8825401636859654,6599,6598
4,1,2,10,10min,1,falha_gap(>10),52,6598,0.007881176113973931,6599,6598
5,2,2,10,10min,-1,falha_comunicacao(<10),36,5837,0.006167551824567415,5838,5837
5,2,2,10,10min,0,ok(=10),5680,5837,0.9731026212095254,5838,5837
5,2,2,10,10min,1,falha_gap(>10),121,5837,0.020729826965907146,5838,5837
6,3,2,10,10min,-1,falha_comunicacao(<10),40,5863,0.006822445846836091,5864,5863
6,3,2,10,10min,0,ok(=10),5719,5863,0.9754391949513901,5864,5863
6,3,2,10,10min,1,falha_gap(>10),104,5863,0.017738359201773836,5864,5863
7,1,3,5,5min,-1,falha_comunicacao(<5),33,11781,0.0028011204481792717,11782,11781
7,1,3,5,5min,0,ok(=5),11611,11781,0.9855699855699855,11782,11781
7,1,3,5,5min,1,falha_gap(>5),137,11781,0.011628893981835158,11782,11781
8,2,3,5,5min,-1,falha_comunicacao(<5),120,11624,0.01032346868547832,11625,11624
8,2,3,5,5min,0,ok(=5),11132,11624,0.9576737783895389,11625,11624
8,2,3,5,5min,1,falha_gap(>5),372,11624,0.032002752924982794,11625,11624
9,3,3,5,5min,-1,falha_comunicacao(<5),83,11754,0.007061425897566786,11755,11754
9,3,3,5,5min,0,ok(=5),11462,11754,0.9751573932278373,11755,11754
9,3,3,5,5min,1,falha_gap(>5),209,11754,0.017781180874595882,11755,11754
10,1,4,10,10min,-1,falha_comunicacao(<10),49,5817,0.00842358604091456,5818,5817
10,1,4,10,10min,0,ok(=10),5623,5817,0.9666494756747465,5818,5817
10,1,4,10,10min,1,falha_gap(>10),145,5817,0.024926938284339006,5818,5817
11,2,4,10,10min,-1,falha_comunicacao(<10),34,5848,0.005813953488372093,5849,5848
11,2,4,10,10min,0,ok(=10),5704,5848,0.9753761969904241,5849,5848
11,2,4,10,10min,1,falha_gap(>10),110,5848,0.01880984952120383,5849,5848
12,3,4,10,10min,-1,falha_comunicacao(<10),12,5871,0.002043944813490036,5872,5871
12,3,4,10,10min,0,ok(=10),5788,5871,0.9858627150400272,5872,5871
12,3,4,10,10min,1,falha_gap(>10),71,5871,0.012093340146482712,5872,5871
13,1,5,5,5min,-1,falha_comunicacao(<5),74,11654,0.0063497511584005495,11655,11654
13,1,5,5,5min,0,ok(=5),11320,11654,0.971340312339111,11655,11654
13,1,5,5,5min,1,falha_gap(>5),260,11654,0.022309936502488414,11655,11654
14,2,5,5,5min,-1,falha_comunicacao(<5),158,11771,0.013422818791946308,11772,11771
14,2,5,5,5min,0,ok(=5),11367,11771,0.9656783620762892,11772,11771
14,2,5,5,5min,1,falha_gap(>5),246,11771,0.020898819131764505,11772,11771
15,3,5,5,5min,-1,falha_comunicacao(<5),92,11704,0.00786056049213944,11705,11704
15,3,5,5,5min,0,ok(=5),11353,11704,0.9700102529049898,11705,11704
15,3,5,5,5min,1,falha_gap(>5),259,11704,0.022129186602870814,11705,11704
16,1,6,10,10min,-1,falha_comunicacao(<10),126,5621,0.0224159402241594,5622,5621
16,1,6,10,10min,0,ok(=10),5131,5621,0.912826899128269,5622,5621
16,1,6,10,10min,1,falha_gap(>10),364,5621,0.0647571606475716,5622,5621
17,2,6,10,10min,-1,falha_comunicacao(<10),62,5795,0.010698878343399483,5796,5795
17,2,6,10,10min,0,ok(=10),5548,5795,0.9573770491803278,5796,5795
17,2,6,10,10min,1,falha_gap(>10),185,5795,0.03192407247627265,5796,5795
18,3,6,10,10min,-1,falha_comunicacao(<10),98,5756,0.017025712300208478,5757,5756
18,3,6,10,10min,0,ok(=10),5406,5756,0.9391938846421126,5757,5756
18,3,6,10,10min,1,falha_gap(>10),252,5756,0.04378040305767894,5757,5756
19,1,7,5,5min,-1,falha_comunicacao(<5),135,11663,0.011575066449455542,11664,11663
19,1,7,5,5min,0,ok(=5),11196,11663,0.9599588442081797,11664,11663
19,1,7,5,5min,1,falha_gap(>5),332,11663,0.028466089342364744,11664,11663
20,2,7,5,5min,-1,falha_comunicacao(<5),130,11601,0.011205930523230757,11602,11601
20,2,7,5,5min,0,ok(=5),11084,11601,0.9554348763037669,11602,11601
20,2,7,5,5min,1,falha_gap(>5),387,11601,0.03335919317300233,11602,11601
21,3,7,5,5min,-1,falha_comunicacao(<5),123,11671,0.010538942678433725,11672,11671
21,3,7,5,5min,0,ok(=5),11231,11671,0.9622997172478793,11672,11671
21,3,7,5,5min,1,falha_gap(>5),317,11671,0.027161340073686917,11672,11671
22,1,8,10,10min,-1,falha_comunicacao(<10),114,5724,0.019916142557651992,5725,5724
22,1,8,10,10min,0,ok(=10),5332,5724,0.9315164220824598,5725,5724
22,1,8,10,10min,1,falha_gap(>10),278,5724,0.04856743535988819,5725,5724
23,2,8,10,10min,-1,falha_comunicacao(<10),28,5861,0.004777341750554513,5862,5861
23,2,8,10,10min,0,ok(=10),5741,5861,0.9795256782119093,5862,5861
23,2,8,10,10min,1,falha_gap(>10),92,5861,0.015696980037536258,5862,5861
24,3,8,10,10min,-1,falha_comunicacao(<10),30,5834,0.005142269454919438,5835,5834
24,3,8,10,10min,0,ok(=10),5684,5834,0.9742886527254028,5835,5834
24,3,8,10,10min,1,falha_gap(>10),120,5834,0.02056907781967775,5835,5834
25,1,9,5,5min,-1,falha_comunicacao(<5),745,11762,0.06333956810066316,11763,11762
25,1,9,5,5min,0,ok(=5),10268,11762,0.8729807855806836,11763,11762
25,1,9,5,5min,1,falha_gap(>5),749,11762,0.06367964631865329,11763,11762
26,2,9,5,5min,-1,falha_comunicacao(<5),1059,12397,0.08542389287730903,12398,12397
26,2,9,5,5min,0,ok(=5),10862,12397,0.8761797209002178,12398,12397
26,2,9,5,5min,1,falha_gap(>5),476,12397,0.038396386222473176,12398,12397
27,3,9,5,5min,-1,falha_comunicacao(<5),84,11701,0.007178873600546962,11702,11701
27,3,9,5,5min,0,ok(=5),11362,11701,0.9710281172549354,11702,11701
27,3,9,5,5min,1,falha_gap(>5),255,11701,0.021793009144517563,11702,11701
28,1,10,10,10min,-1,falha_comunicacao(<10),31,5857,0.005292812019805361,5858,5857
28,1,10,10,10min,0,ok(=10),5728,5857,0.9779750725627454,5858,5857
28,1,10,10,10min,1,falha_gap(>10),98,5857,0.016732115417449206,5858,5857
29,2,10,10,10min,-1,falha_comunicacao(<10),97,5742,0.016893068617206547,5743,5742
29,2,10,10,10min,0,ok(=10),5390,5742,0.9386973180076629,5743,5742
29,2,10,10,10min,1,falha_gap(>10),255,5742,0.044409613375130615,5743,5742
30,3,10,10,10min,-1,falha_comunicacao(<10),38,5830,0.006518010291595197,5831,5830
30,3,10,10,10min,0,ok(=10),5661,5830,0.9710120068610635,5831,5830
30,3,10,10,10min,1,falha_gap(>10),131,5830,0.02246998284734134,5831,5830
