Sensor,Linha,Coluna,max_gap_min,p95_gap_min,inicio_max_gap,fim_max_gap
16,Linha 1,Coluna 6,50,20,2025-08-15T12:05:37Z,2025-08-15T12:55:46Z
22,Linha 1,Coluna 8,50,20,2025-08-19T13:59:41Z,2025-08-19T14:49:50Z
10,Linha 1,Coluna 4,40,10,2025-08-15T08:05:34Z,2025-08-15T08:45:41Z
29,Linha 2,Coluna 10,40,10,2025-08-18T18:49:59Z,2025-08-18T19:30:06Z
30,Linha 3,Coluna 10,40,10,2025-08-19T02:01:05Z,2025-08-19T02:41:12Z
5,Linha 2,Coluna 2,30,10,2025-08-19T08:31:37Z,2025-08-19T09:01:43Z
6,Linha 3,Coluna 2,30,10,2025-08-13T11:09:56Z,2025-08-13T11:40:01Z
11,Linha 2,Coluna 4,30,10,2025-08-12T15:26:29Z,2025-08-12T15:56:34Z
17,Linha 2,Coluna 6,30,10,2025-08-15T12:03:24Z,2025-08-15T12:33:30Z
18,Linha 3,Coluna 6,30,10,2025-08-18T09:57:08Z,2025-08-18T10:27:14Z
23,Linha 2,Coluna 8,30,10,2025-08-14T06:47:07Z,2025-08-14T07:17:12Z
28,Linha 1,Coluna 10,30,10,2025-08-20T01:28:53Z,2025-08-20T01:58:58Z
7,Linha 1,Coluna 3,25,5,2025-08-18T08:15:15Z,2025-08-18T08:40:15Z
14,Linha 2,Coluna 5,25,5,2025-08-12T05:58:57Z,2025-08-12T06:23:57Z
4,Linha 1,Coluna 2,20,10,2025-08-12T23:17:49Z,2025-08-12T23:37:53Z
12,Linha 3,Coluna 4,20,10,2025-08-12T11:04:13Z,2025-08-12T11:24:17Z
15,Linha 3,Coluna 5,20,5,2025-08-12T08:20:17Z,2025-08-12T08:40:17Z
24,Linha 3,Coluna 8,20,10,2025-08-12T15:26:36Z,2025-08-12T15:46:40Z
26,Linha 2,Coluna 9,20,5,2025-08-17T12:26:59Z,2025-08-17T12:46:59Z
1,Linha 1,Coluna 1,15,5,2025-08-15T13:22:37Z,2025-08-15T13:37:37Z
9,Linha 3,Coluna 3,15,5,2025-08-18T13:44:20Z,2025-08-18T13:59:20Z
13,Linha 1,Coluna 5,15,5,2025-08-17T02:35:53Z,2025-08-17T02:50:53Z
19,Linha 1,Coluna 7,15,5,2025-08-14T21:44:03Z,2025-08-14T21:59:03Z
20,Linha 2,Coluna 7,15,5,2025-08-14T10:11:32Z,2025-08-14T10:26:32Z
21,Linha 3,Coluna 7,15,5,2025-08-17T21:26:16Z,2025-08-17T21:41:16Z
25,Linha 1,Coluna 9,15,5,2025-08-15T13:06:56Z,2025-08-15T13:21:56Z
2,Linha 2,Coluna 1,10,5,2025-08-19T07:00:01Z,2025-08-19T07:10:02Z
3,Linha 3,Coluna 1,10,5,2025-08-12T08:21:15Z,2025-08-12T08:31:15Z
8,Linha 2,Coluna 3,10,5,2025-08-19T21:33:47Z,2025-08-19T21:43:50Z
27,Linha 3,Coluna 9,10,5,2025-08-15T13:09:56Z,2025-08-15T13:19:59Z
