Sensor,Linha,Coluna,max_gap_min,p95_gap_min,inicio_max_gap,fim_max_gap
18,Linha 3,Coluna 6,50,20,2025-07-26T20:29:47Z,2025-07-26T21:19:56Z
10,Linha 1,Coluna 4,40,10,2025-07-26T02:48:18Z,2025-07-26T03:28:25Z
16,Linha 1,Coluna 6,40,20,2025-07-26T18:00:24Z,2025-07-26T18:40:32Z
29,Linha 2,Coluna 10,30,10,2025-07-24T04:07:39Z,2025-07-24T04:37:45Z
26,Linha 2,Coluna 9,25,5,2025-07-24T07:57:44Z,2025-07-24T08:22:44Z
4,Linha 1,Coluna 2,20,10,2025-07-25T21:09:54Z,2025-07-25T21:29:58Z
5,Linha 2,Coluna 2,20,10,2025-07-25T13:35:04Z,2025-07-25T13:55:07Z
6,Linha 3,Coluna 2,20,10,2025-07-26T10:43:07Z,2025-07-26T11:03:11Z
9,Linha 3,Coluna 3,20,5,2025-07-26T02:31:00Z,2025-07-26T02:51:00Z
11,Linha 2,Coluna 4,20,10,2025-07-24T09:32:55Z,2025-07-24T09:52:58Z
12,Linha 3,Coluna 4,20,10,2025-07-24T18:45:08Z,2025-07-24T19:05:12Z
17,Linha 2,Coluna 6,20,10,2025-07-25T02:29:55Z,2025-07-25T02:49:59Z
22,Linha 1,Coluna 8,20,10,2025-07-24T12:49:59Z,2025-07-24T13:10:03Z
23,Linha 2,Coluna 8,20,10,2025-07-24T23:40:54Z,2025-07-25T00:00:58Z
24,Linha 3,Coluna 8,20,10,2025-07-24T20:25:16Z,2025-07-24T20:45:20Z
28,Linha 1,Coluna 10,20,10,2025-07-26T11:54:27Z,2025-07-26T12:14:32Z
30,Linha 3,Coluna 10,20,10,2025-07-25T02:52:48Z,2025-07-25T03:12:52Z
15,Linha 3,Coluna 5,15,5,2025-07-26T00:11:13Z,2025-07-26T00:26:13Z
25,Linha 1,Coluna 9,15,10,2025-07-25T22:42:27Z,2025-07-25T22:57:28Z
1,Linha 1,Coluna 1,10,5,2025-07-25T18:09:59Z,2025-07-25T18:19:59Z
2,Linha 2,Coluna 1,10,5,2025-07-24T20:45:09Z,2025-07-24T20:55:10Z
3,Linha 3,Coluna 1,10,5,2025-07-24T18:25:24Z,2025-07-24T18:35:24Z
7,Linha 1,Coluna 3,10,5,2025-07-24T04:10:39Z,2025-07-24T04:20:39Z
8,Linha 2,Coluna 3,10,5,2025-07-24T06:01:55Z,2025-07-24T06:11:55Z
13,Linha 1,Coluna 5,10,5,2025-07-26T02:16:24Z,2025-07-26T02:26:24Z
14,Linha 2,Coluna 5,10,5,2025-07-24T07:21:07Z,2025-07-24T07:31:07Z
19,Linha 1,Coluna 7,10,5,2025-07-26T21:01:39Z,2025-07-26T21:11:40Z
20,Linha 2,Coluna 7,10,5,2025-07-24T07:42:03Z,2025-07-24T07:52:03Z
21,Linha 3,Coluna 7,10,5,2025-07-24T05:42:10Z,2025-07-24T05:52:10Z
27,Linha 3,Coluna 9,10,5,2025-07-24T03:13:13Z,2025-07-24T03:23:13Z
