Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
17,Linha 2,Coluna 6,491.51666666666665,2025-07-23T13:13:08Z,2025-07-23T21:24:39Z
4,Linha 1,Coluna 2,491.48333333333335,2025-07-23T13:09:52Z,2025-07-23T21:21:21Z
10,Linha 1,Coluna 4,491.48333333333335,2025-07-23T13:07:12Z,2025-07-23T21:18:41Z
24,Linha 3,Coluna 8,491.48333333333335,2025-07-23T13:09:37Z,2025-07-23T21:21:06Z
6,Linha 3,Coluna 2,491.46666666666664,2025-07-23T13:10:49Z,2025-07-23T21:22:17Z
11,Linha 2,Coluna 4,491.46666666666664,2025-07-23T13:09:14Z,2025-07-23T21:20:42Z
16,Linha 1,Coluna 6,491.46666666666664,2025-07-23T13:06:37Z,2025-07-23T21:18:05Z
5,Linha 2,Coluna 2,491.45,2025-07-23T13:06:24Z,2025-07-23T21:17:51Z
12,Linha 3,Coluna 4,491.45,2025-07-23T13:09:54Z,2025-07-23T21:21:21Z
21,Linha 3,Coluna 7,489.98333333333335,2025-07-23T13:12:11Z,2025-07-23T21:22:10Z
2,Linha 2,Coluna 1,485,2025-07-23T13:15:10Z,2025-07-23T21:20:10Z
8,Linha 2,Coluna 3,485,2025-07-23T13:11:56Z,2025-07-23T21:16:56Z
20,Linha 2,Coluna 7,485,2025-07-23T13:12:04Z,2025-07-23T21:17:04Z
26,Linha 2,Coluna 9,485,2025-07-23T13:12:45Z,2025-07-23T21:17:45Z
1,Linha 1,Coluna 1,484.98333333333335,2025-07-23T13:15:02Z,2025-07-23T21:20:01Z
13,Linha 1,Coluna 5,484.98333333333335,2025-07-23T13:11:28Z,2025-07-23T21:16:27Z
15,Linha 3,Coluna 5,484.98333333333335,2025-07-23T13:11:20Z,2025-07-23T21:16:19Z
19,Linha 1,Coluna 7,484.98333333333335,2025-07-23T13:11:45Z,2025-07-23T21:16:44Z
25,Linha 1,Coluna 9,484.98333333333335,2025-07-23T13:12:31Z,2025-07-23T21:17:30Z
30,Linha 3,Coluna 10,481.45,2025-07-23T13:16:00Z,2025-07-23T21:17:27Z
18,Linha 3,Coluna 6,481.43333333333334,2025-07-23T13:15:33Z,2025-07-23T21:16:59Z
23,Linha 2,Coluna 8,481.43333333333334,2025-07-23T13:14:47Z,2025-07-23T21:16:13Z
29,Linha 2,Coluna 10,481.43333333333334,2025-07-23T13:14:58Z,2025-07-23T21:16:24Z
22,Linha 1,Coluna 8,481.4166666666667,2025-07-23T13:15:51Z,2025-07-23T21:17:16Z
28,Linha 1,Coluna 10,481.4166666666667,2025-07-23T13:11:56Z,2025-07-23T21:13:21Z
27,Linha 3,Coluna 9,480.1166666666667,2025-07-23T13:13:13Z,2025-07-23T21:13:20Z
7,Linha 1,Coluna 3,480,2025-07-23T13:15:39Z,2025-07-23T21:15:39Z
3,Linha 3,Coluna 1,479.98333333333335,2025-07-23T13:15:26Z,2025-07-23T21:15:25Z
9,Linha 3,Coluna 3,479.98333333333335,2025-07-23T13:16:04Z,2025-07-23T21:16:03Z
14,Linha 2,Coluna 5,479.98333333333335,2025-07-23T13:16:09Z,2025-07-23T21:16:08Z
