Sensor,Linha,Coluna,classe_gap_5,n
1,1,1,falha_comunicacao(<5),744
1,1,1,falha_maior_que_5(>5),396
1,1,1,ok(=5),10462
2,2,1,falha_comunicacao(<5),404
2,2,1,falha_maior_que_5(>5),442
2,2,1,ok(=5),10537
3,3,1,falha_comunicacao(<5),384
3,3,1,falha_maior_que_5(>5),417
3,3,1,ok(=5),10603
4,1,2,falha_comunicacao(<5),10
4,1,2,falha_maior_que_5(>5),5673
5,2,2,falha_comunicacao(<5),38
5,2,2,falha_maior_que_5(>5),5647
6,3,2,falha_comunicacao(<5),26
6,3,2,falha_maior_que_5(>5),5633
7,1,3,falha_comunicacao(<5),574
7,1,3,falha_maior_que_5(>5),552
7,1,3,ok(=5),10234
8,2,3,falha_comunicacao(<5),387
8,2,3,falha_maior_que_5(>5),433
8,2,3,ok(=5),10556
9,3,3,falha_comunicacao(<5),930
9,3,3,falha_maior_que_5(>5),407
9,3,3,ok(=5),10349
10,1,4,falha_comunicacao(<5),32
10,1,4,falha_maior_que_5(>5),5624
11,2,4,falha_comunicacao(<5),72
11,2,4,falha_maior_que_5(>5),5550
12,3,4,falha_comunicacao(<5),17
12,3,4,falha_maior_que_5(>5),5648
13,1,5,falha_comunicacao(<5),431
13,1,5,falha_maior_que_5(>5),453
13,1,5,ok(=5),10504
14,2,5,falha_comunicacao(<5),612
14,2,5,falha_maior_que_5(>5),567
14,2,5,ok(=5),10155
15,3,5,falha_comunicacao(<5),2042
15,3,5,falha_maior_que_5(>5),378
15,3,5,ok(=5),9807
16,1,6,falha_comunicacao(<5),68
16,1,6,falha_maior_que_5(>5),5539
17,2,6,falha_comunicacao(<5),88
17,2,6,falha_maior_que_5(>5),5519
18,3,6,falha_comunicacao(<5),32
18,3,6,falha_maior_que_5(>5),5627
19,1,7,falha_comunicacao(<5),543
19,1,7,falha_maior_que_5(>5),528
19,1,7,ok(=5),10286
20,2,7,falha_comunicacao(<5),540
20,2,7,falha_maior_que_5(>5),585
20,2,7,ok(=5),10155
21,3,7,falha_comunicacao(<5),863
21,3,7,falha_maior_que_5(>5),470
21,3,7,ok(=5),10232
22,1,8,falha_comunicacao(<5),28
22,1,8,falha_maior_que_5(>5),5636
23,2,8,falha_comunicacao(<5),48
23,2,8,falha_maior_que_5(>5),5621
24,3,8,falha_comunicacao(<5),21
24,3,8,falha_maior_que_5(>5),5657
25,1,9,falha_comunicacao(<5),636
25,1,9,falha_maior_que_5(>5),646
25,1,9,ok(=5),9981
26,2,9,falha_comunicacao(<5),560
26,2,9,falha_maior_que_5(>5),550
26,2,9,ok(=5),10207
27,3,9,falha_comunicacao(<5),648
27,3,9,falha_maior_que_5(>5),704
27,3,9,ok(=5),9867
28,1,10,falha_comunicacao(<5),46
28,1,10,falha_maior_que_5(>5),5609
29,2,10,falha_comunicacao(<5),133
29,2,10,falha_maior_que_5(>5),5345
30,3,10,falha_comunicacao(<5),26
30,3,10,falha_maior_que_5(>5),5635
