Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
29,Linha 2,Coluna 10,100.3,2025-10-01T17:25:48Z,2025-10-01T19:06:06Z
17,Linha 2,Coluna 6,30.116666666666667,2025-10-03T01:55:10Z,2025-10-03T02:25:17Z
12,Linha 3,Coluna 4,30.1,2025-10-02T03:07:07Z,2025-10-02T03:37:13Z
24,Linha 3,Coluna 8,30.1,2025-10-05T04:47:17Z,2025-10-05T05:17:23Z
16,Linha 1,Coluna 6,30.083333333333332,2025-10-03T15:29:49Z,2025-10-03T15:59:54Z
22,Linha 1,Coluna 8,30.083333333333332,2025-10-04T11:45:22Z,2025-10-04T12:15:27Z
28,Linha 1,Coluna 10,30.083333333333332,2025-10-04T23:29:10Z,2025-10-04T23:59:15Z
1,Linha 1,Coluna 1,25.066666666666666,2025-10-02T06:51:35Z,2025-10-02T07:16:39Z
7,Linha 1,Coluna 3,25,2025-10-05T10:09:39Z,2025-10-05T10:34:39Z
10,Linha 1,Coluna 4,20.083333333333332,2025-10-05T11:26:04Z,2025-10-05T11:46:09Z
11,Linha 2,Coluna 4,20.083333333333332,2025-10-01T13:14:10Z,2025-10-01T13:34:15Z
4,Linha 1,Coluna 2,20.066666666666666,2025-10-06T02:33:24Z,2025-10-06T02:53:28Z
5,Linha 2,Coluna 2,20.066666666666666,2025-10-02T05:53:27Z,2025-10-02T06:13:31Z
6,Linha 3,Coluna 2,20.066666666666666,2025-10-03T06:47:13Z,2025-10-03T07:07:17Z
18,Linha 3,Coluna 6,20.066666666666666,2025-10-01T03:03:46Z,2025-10-01T03:23:50Z
23,Linha 2,Coluna 8,20.066666666666666,2025-10-01T18:59:23Z,2025-10-01T19:19:27Z
30,Linha 3,Coluna 10,20.066666666666666,2025-10-03T21:49:55Z,2025-10-03T22:09:59Z
2,Linha 2,Coluna 1,20,2025-10-01T11:59:15Z,2025-10-01T12:19:15Z
14,Linha 2,Coluna 5,20,2025-10-01T16:26:36Z,2025-10-01T16:46:36Z
27,Linha 3,Coluna 9,20,2025-10-04T12:18:51Z,2025-10-04T12:38:51Z
3,Linha 3,Coluna 1,19.983333333333334,2025-10-02T13:10:27Z,2025-10-02T13:30:26Z
8,Linha 2,Coluna 3,15,2025-10-02T13:08:12Z,2025-10-02T13:23:12Z
9,Linha 3,Coluna 3,15,2025-10-02T13:08:26Z,2025-10-02T13:23:26Z
13,Linha 1,Coluna 5,15,2025-10-02T13:08:25Z,2025-10-02T13:23:25Z
15,Linha 3,Coluna 5,15,2025-10-02T13:07:58Z,2025-10-02T13:22:58Z
19,Linha 1,Coluna 7,15,2025-10-02T13:07:44Z,2025-10-02T13:22:44Z
20,Linha 2,Coluna 7,15,2025-10-02T13:09:47Z,2025-10-02T13:24:47Z
25,Linha 1,Coluna 9,15,2025-10-01T09:34:22Z,2025-10-01T09:49:22Z
26,Linha 2,Coluna 9,15,2025-10-01T14:04:28Z,2025-10-01T14:19:28Z
21,Linha 3,Coluna 7,10,2025-10-01T09:22:00Z,2025-10-01T09:32:00Z
