Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
18,Linha 3,Coluna 6,50.15,2025-10-25T15:29:48Z,2025-10-25T16:19:57Z
29,Linha 2,Coluna 10,40.13333333333333,2025-10-30T12:52:06Z,2025-10-30T13:32:14Z
16,Linha 1,Coluna 6,40.11666666666667,2025-11-04T02:15:23Z,2025-11-04T02:55:30Z
5,Linha 2,Coluna 2,30.1,2025-10-22T08:19:43Z,2025-10-22T08:49:49Z
11,Linha 2,Coluna 4,30.1,2025-10-31T16:35:06Z,2025-10-31T17:05:12Z
17,Linha 2,Coluna 6,30.1,2025-10-22T20:11:29Z,2025-10-22T20:41:35Z
22,Linha 1,Coluna 8,30.1,2025-10-24T01:48:02Z,2025-10-24T02:18:08Z
23,Linha 2,Coluna 8,30.1,2025-10-22T01:45:27Z,2025-10-22T02:15:33Z
28,Linha 1,Coluna 10,30.1,2025-10-22T16:34:30Z,2025-10-22T17:04:36Z
4,Linha 1,Coluna 2,30.083333333333332,2025-10-29T04:02:44Z,2025-10-29T04:32:49Z
10,Linha 1,Coluna 4,30.083333333333332,2025-10-28T22:37:26Z,2025-10-28T23:07:31Z
24,Linha 3,Coluna 8,30.083333333333332,2025-10-31T16:31:59Z,2025-10-31T17:02:04Z
30,Linha 3,Coluna 10,30.083333333333332,2025-10-22T20:32:06Z,2025-10-22T21:02:11Z
20,Linha 2,Coluna 7,25,2025-10-23T02:39:07Z,2025-10-23T03:04:07Z
27,Linha 3,Coluna 9,25,2025-11-04T13:18:10Z,2025-11-04T13:43:10Z
6,Linha 3,Coluna 2,20.066666666666666,2025-10-21T09:44:15Z,2025-10-21T10:04:19Z
12,Linha 3,Coluna 4,20.066666666666666,2025-10-21T14:19:38Z,2025-10-21T14:39:42Z
21,Linha 3,Coluna 7,20.033333333333335,2025-10-31T16:35:47Z,2025-10-31T16:55:49Z
19,Linha 1,Coluna 7,20,2025-10-24T05:02:02Z,2025-10-24T05:22:02Z
26,Linha 2,Coluna 9,20,2025-11-04T11:23:20Z,2025-11-04T11:43:20Z
13,Linha 1,Coluna 5,19.983333333333334,2025-11-03T20:57:27Z,2025-11-03T21:17:26Z
8,Linha 2,Coluna 3,15.1,2025-10-31T16:32:37Z,2025-10-31T16:47:43Z
3,Linha 3,Coluna 1,15.083333333333334,2025-10-31T16:34:52Z,2025-10-31T16:49:57Z
2,Linha 2,Coluna 1,15.016666666666667,2025-10-31T16:33:21Z,2025-10-31T16:48:22Z
7,Linha 1,Coluna 3,15,2025-10-29T16:59:16Z,2025-10-29T17:14:16Z
9,Linha 3,Coluna 3,15,2025-10-21T20:57:57Z,2025-10-21T21:12:57Z
14,Linha 2,Coluna 5,15,2025-11-03T03:44:57Z,2025-11-03T03:59:57Z
15,Linha 3,Coluna 5,15,2025-10-22T09:37:00Z,2025-10-22T09:52:00Z
25,Linha 1,Coluna 9,15,2025-10-22T17:13:37Z,2025-10-22T17:28:37Z
1,Linha 1,Coluna 1,14.85,2025-10-31T16:46:03Z,2025-10-31T17:00:54Z
