Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
29,Linha 2,Coluna 10,40.11666666666667,2025-09-26T21:24:40Z,2025-09-26T22:04:47Z
16,Linha 1,Coluna 6,30.083333333333332,2025-09-26T14:49:35Z,2025-09-26T15:19:40Z
18,Linha 3,Coluna 6,20.15,2025-09-26T04:02:19Z,2025-09-26T04:22:28Z
6,Linha 3,Coluna 2,20.066666666666666,2025-09-26T11:28:21Z,2025-09-26T11:48:25Z
10,Linha 1,Coluna 4,20.066666666666666,2025-09-26T21:18:59Z,2025-09-26T21:39:03Z
17,Linha 2,Coluna 6,20.066666666666666,2025-09-26T18:07:39Z,2025-09-26T18:27:43Z
24,Linha 3,Coluna 8,20.066666666666666,2025-09-26T08:58:59Z,2025-09-26T09:19:03Z
30,Linha 3,Coluna 10,20.066666666666666,2025-09-26T10:57:35Z,2025-09-26T11:17:39Z
11,Linha 2,Coluna 4,20.05,2025-09-26T10:52:05Z,2025-09-26T11:12:08Z
12,Linha 3,Coluna 4,20.05,2025-09-26T16:44:06Z,2025-09-26T17:04:09Z
22,Linha 1,Coluna 8,20.05,2025-09-26T11:51:41Z,2025-09-26T12:11:44Z
23,Linha 2,Coluna 8,20.05,2025-09-26T16:47:46Z,2025-09-26T17:07:49Z
19,Linha 1,Coluna 7,15,2025-09-26T12:42:56Z,2025-09-26T12:57:56Z
26,Linha 2,Coluna 9,15,2025-09-26T05:14:38Z,2025-09-26T05:29:38Z
4,Linha 1,Coluna 2,10.116666666666667,2025-09-26T04:10:34Z,2025-09-26T04:20:41Z
5,Linha 2,Coluna 2,10.1,2025-09-26T04:07:25Z,2025-09-26T04:17:31Z
28,Linha 1,Coluna 10,10.1,2025-09-26T04:11:43Z,2025-09-26T04:21:49Z
1,Linha 1,Coluna 1,10,2025-09-26T18:21:42Z,2025-09-26T18:31:42Z
2,Linha 2,Coluna 1,10,2025-09-26T05:19:22Z,2025-09-26T05:29:22Z
3,Linha 3,Coluna 1,10,2025-09-26T03:25:33Z,2025-09-26T03:35:33Z
7,Linha 1,Coluna 3,10,2025-09-26T14:19:47Z,2025-09-26T14:29:47Z
8,Linha 2,Coluna 3,10,2025-09-26T22:13:18Z,2025-09-26T22:23:18Z
9,Linha 3,Coluna 3,10,2025-09-26T07:38:34Z,2025-09-26T07:48:34Z
13,Linha 1,Coluna 5,10,2025-09-26T07:38:34Z,2025-09-26T07:48:34Z
14,Linha 2,Coluna 5,10,2025-09-26T15:31:50Z,2025-09-26T15:41:50Z
15,Linha 3,Coluna 5,10,2025-09-26T03:03:17Z,2025-09-26T03:13:17Z
21,Linha 3,Coluna 7,10,2025-09-26T07:42:11Z,2025-09-26T07:52:11Z
25,Linha 1,Coluna 9,10,2025-09-26T08:24:29Z,2025-09-26T08:34:29Z
27,Linha 3,Coluna 9,10,2025-09-26T17:24:01Z,2025-09-26T17:34:01Z
20,Linha 2,Coluna 7,9.983333333333333,2025-09-26T03:59:57Z,2025-09-26T04:09:56Z
