Lote,Sensor,Linha,Coluna,total_falhas
lote3,22,1,8,5843
lote3,24,3,8,5824
lote3,23,2,8,5812
lote3,30,3,10,5793
lote3,6,3,2,5786
lote3,16,1,6,5785
lote3,17,2,6,5784
lote3,10,1,4,5772
lote3,12,3,4,5755
lote3,5,2,2,5721
lote3,11,2,4,5707
lote3,28,1,10,5692
lote3,29,2,10,5648
lote3,4,1,2,5634
lote3,18,3,6,5512
lote3,25,1,9,99
lote3,27,3,9,73
lote3,20,2,7,58
lote3,1,1,1,43
lote3,14,2,5,43
lote3,13,1,5,25
lote3,2,2,1,24
lote3,7,1,3,19
lote3,26,2,9,19
lote3,8,2,3,18
lote3,21,3,7,16
lote3,19,1,7,14
lote3,15,3,5,13
lote3,3,3,1,12
lote3,9,3,3,9
